feature,n_train,n_recent,ks_pvalue,drift,mean_train,mean_recent
silver_open,2608,45,0.0,True,19.206142,75.891845
silver_high,2608,45,0.0,True,19.322665,77.1404
silver_low,2608,45,0.0,True,19.077851,74.561267
silver_close,2608,45,0.0,True,19.194936,75.978199
gold_open,2608,45,0.0,True,1437.210046,4685.480013
gold_high,2608,45,0.0,True,1444.274962,4717.795584
gold_low,2608,45,0.0,True,1429.970016,4634.548893
gold_close,2608,45,0.0,True,1437.120974,4675.497776
vix_open,2608,45,0.0,True,17.981967,21.502445
dxy_open,2608,45,0.0,True,93.68648,98.971111
dxy_high,2608,45,0.0,True,94.002918,99.246667
dxy_low,2608,45,0.0,True,93.407757,98.652222
dxy_close,2608,45,0.0,True,93.712918,98.936667
vix_close,2608,45,0.0,True,17.840138,21.083556
vix_low,2608,45,0.0,True,17.010498,20.268667
vix_high,2608,45,0.0,True,19.020928,22.504
copper_volume,2608,45,0.0,True,1712.11273,3110.044444
oil_open,2608,45,0.0,True,65.774463,98.388666
oil_high,2608,45,0.0,True,66.786181,101.901556
vix_volume,2608,45,0.0,True,0.0,0.0
copper_open,2608,45,0.0,True,3.065896,5.861056
copper_high,2608,45,0.0,True,3.085806,5.9128
copper_low,2608,45,0.0,True,3.045206,5.825644
copper_close,2608,45,0.0,True,3.066618,5.874044
oil_close,2608,45,0.0,True,65.751331,98.219333
sp500_open,2608,45,0.0,True,2742.29358,6927.879796
sp500_high,2608,45,0.0,True,2756.946979,6967.324023
oil_low,2608,45,0.0,True,64.679939,94.297778
eurusd_open,2608,45,0.0,True,1.168396,1.165506
sp500_volume,2608,45,0.0,True,3864965893.404908,5369421555.555555
sp500_close,2608,45,0.0,True,2742.687293,6938.656695
sp500_low,2608,45,0.0,True,2726.341772,6897.155545
silver_atr_14d,2602,45,0.0,True,0.341824,3.63316
eurusd_low,2608,45,0.0,True,1.164666,1.162782
eurusd_close,2608,45,0.0,True,1.168417,1.165428
eurusd_volume,2608,45,0.0,True,0.0,0.0
eurusd_high,2608,45,0.0,True,1.172077,1.168741
oil_volume,2608,45,1.2e-05,True,446720.436733,308928.8
silver_ret_5d,2603,45,0.000754,True,0.00031,0.002627
silver_zscore_60d,2549,45,0.001016,True,-0.082025,-0.495952
silver_volume,2608,45,0.001113,True,1922.713574,2574.155556
silver_ret_2d,2606,45,0.002659,True,0.000111,0.000386
silver_ret_3d,2605,45,0.003807,True,0.000177,0.001873
gold_volume,2608,45,0.00571,True,5675.070552,6038.066667
silver_ret_10d,2598,45,0.006285,True,0.000516,-0.004942
silver_ret_20d,2588,45,0.007251,True,0.000755,-0.024441
silver_ret_1d,2607,45,0.024766,False,5.9e-05,-0.000313
silver_rsi_14,2607,45,0.270978,False,48.862529,48.200116
dxy_volume,2608,45,0.421502,False,8930.214724,0.0
silver_zscore_20d,2589,45,0.99307,False,-0.063584,-0.060653
